OBJECTID,MVICCALZAD,MVICCAT,,,MVINALTERN,MVINPRINCI,MVINGENERA,MVINANTIGU,MVIETIQUET,MVISVIA,MVICIV,MVINVIA,MVIEVIA,MVIFRIGHT,MVITRIGHT,MVIFLEFT,MVITLEFT,MVITM,MVICM,MVINUMC,MVIACAL,MVIEFUN,MVITCONE,NAME,MUNICIPIO,PREFIJO,MVIVEL,MVIBICI,MVIRCAR,MVIESTV,MVITC,MVIRAPS,MVITSUP,MVIMONIT,MVICODIGO,CREADOR,CREADOR_DATE,EDITOR,EDITOR_DATE,MVI_VELREG,Shape__Length
1,168175,18005353,KR, , ,008A0000E0,05700000S0,KR 14A E,KR 8A E,SD,18006831,0,M,2,98,99,97,0,0,1,3.5,SD,5,8A -57,BOGOTA,SE,,,,0,0,0,2,0,96282,,,SIGADMIN,2014/01/22 19:06:43+00,30,0.000319686664836281
2,34104,8001090,CL, , ,04200000S0,0980000000,CL 42 S,CL 42 S,B,8000857,0,M,2,98,99,97,0,0,1,4,SD,5,42 -98,BOGOTA,S,,,,0,0,0,6,0,62558,,,SIGADMIN,2014/01/22 17:48:21+00,30,0.00023257768422389
